City,Lat,Temp,Humidity,Cloud,Wind
noumea,-22.28,82.4,39,20,10.29
tula de allende,20.05,49.83,100,92,0.81
katobu,-4.94,83.4,94,36,2.59
raudeberg,61.99,51.8,81,92,32.21
marcona,,,,,
bardiyah,,,,,
bathsheba,13.22,80.6,78,20,11.41
hit,33.64,60.45,87,92,6.78
grand centre,,,,,
cozumel,,,,,
port blair,11.67,83.67,100,0,13.94
alpena,45.06,35.44,70,75,3.36
bokspits,,,,,
cerfontaine,50.26,36.79,86,0,4.7
bunia,1.56,64.5,99,56,1.03
chernogorsk,53.83,28.4,68,0,13.42
namanyere,-7.51,57.75,90,48,2.86
mount pleasant,33.16,66.74,57,1,10.29
tirumullaivasal,11.24,82.01,83,64,7.74
west bay,50.71,55.4,76,88,11.41
zunyi,27.73,58.92,60,80,3.2
calamar,1.96,79.71,70,0,4.27
stonewall,50.13,33.8,69,75,10.29
puri,-7.54,74.81,81,48,4.88
santa maria da vitoria,-13.39,73.73,78,32,4.72
necochea,-38.55,58.47,79,0,6.06
hofn,64.25,38.31,100,92,27.76
kilindoni,-7.91,79.17,100,80,9.42
boden,65.83,28.4,100,20,2.24
yuancheng,,,,,
porto novo,-23.68,73.4,69,75,1.12
baraboo,43.47,42.58,63,90,8.05
dongsheng,29.72,53.97,82,0,2.82
inuvik,68.36,4.42,78,20,5.5
ayr,55.46,55.4,87,75,16.11
da nang,,,,,
ulukulevo,54.43,37.4,95,90,13.42
utiroa,,,,,
vakhrushi,57.97,36.87,97,92,14.05
anadyr,64.73,26.6,79,75,4.47
placido de castro,-10.34,87.9,54,32,3.87
itoman,26.12,76.82,88,75,12.75
atikokan,48.76,29.13,93,8,3.2
coimbra,40.21,55.4,87,90,3.36
hamilton,43.26,40.32,80,20,6.93
korla,,,,,
alamogordo,32.9,66.2,11,1,12.75
aasiaat,68.71,24.23,100,44,9.53
atbasar,51.81,28.64,91,80,3.2
lavrentiya,65.58,36.29,100,56,8.01
paradwip,,,,,
bubaque,11.28,80.6,83,0,4.7
oudtshoorn,-33.59,69.8,35,92,6.93
jaguariaiva,-24.25,69.59,86,68,15.57
abha,18.22,56.35,87,20,1.36
zwedru,6.07,72.56,98,100,3.87
aljezur,37.31,59.78,100,0,10.65
xining,36.62,20.94,87,68,2.71
aflu,,,,,
tazovskiy,67.47,14.46,84,32,10.76
el tigre,8.89,77.82,80,56,9.01
felipe carrillo puerto,19.58,78.68,84,88,5.73
tucuman,-17.17,57.71,66,0,0.69
makat,47.65,21.08,65,0,2.82
ca mau,9.18,81.06,93,88,10.8
nachingwea,-10.37,70.58,85,0,3.53
kulhudhuffushi,6.62,83.31,100,36,4.21
sao gabriel da cachoeira,-0.13,78.27,90,36,2.08
sirnach,47.46,46.49,100,32,2.24
darhan,49.49,7.13,63,0,6.51
clonakilty,51.62,50,93,75,12.75
amethi,26.76,69.8,77,32,3.36
katangli,51.71,31.02,100,0,22.1
bikaner,28.02,53.52,87,0,6.78
